gvkey,datadate,fyear,tic,company_name,total_assets,working_capital,retained_earnings,ebit,total_liabilities,sales,market_value,price_close,shares_outstanding,indfmt,datafmt,consol,x1_wcap_ratio,x2_re_ratio,x3_ebit_ratio,x4_mkt_lev,x5_turnover,z_score,risk_zone
005047,2019-12-31,2019,GE,GE AEROSPACE,266048.0,,76000.0,8799.0,235748.0,95214.0,97520.9234,11.16,8738.434,INDL,STD,C,,0.2856627375511186,0.03307297931200385,0.41366596280774387,0.3578827880683185,,Unknown
005047,2020-12-31,2020,GE,GE AEROSPACE,253452.0,32343.0,82498.0,3358.0,215891.0,79619.0,94667.3244,10.8,8765.493,INDL,STD,C,0.1276099616495431,0.32549753010431953,0.013249057020658744,0.4384959280377598,0.314138377286429,1.2297863184027578,Distress Zone
005047,2021-12-31,2021,GE,GE AEROSPACE,198874.0,14395.0,86691.0,4570.0,157114.0,74196.0,103825.0807,94.47,1099.027,INDL,STD,C,0.07238251355129378,0.4359091686193268,0.022979373874915776,0.6608264107590667,0.37308044289349035,1.5425400754647625,Distress Zone
005047,2022-12-31,2022,GE,GE AEROSPACE,187788.0,9287.0,83382.0,4389.0,150074.0,76402.0,91256.3593,83.79,1089.108,INDL,STD,C,0.049454704240952566,0.4440219822352866,0.023372100453703113,0.6080757446326479,0.4068524080345922,1.5298022065299457,Distress Zone
005047,2023-12-31,2023,GE,GE AEROSPACE,163045.0,8923.0,80377.0,4103.0,134465.0,67778.0,138914.5341,127.63,1088.416,INDL,STD,C,0.0547272225459229,0.49297433223956577,0.025164831794903246,1.033090648867735,0.4157011867889233,1.8744362532232444,Grey Zone
005047,2024-12-31,2024,GE,GE AEROSPACE,123140.0,3243.0,76627.0,6506.0,103576.0,38419.0,179081.0887,166.79,1073.692,INDL,STD,C,0.02633587786259542,0.622275458827351,0.05283417248660062,1.72898247373909,0.3119944778301121,2.4265254270727543,Grey Zone
006008,2019-12-31,2019,INTC,INTEL CORP,136524.0,8929.0,52243.0,22428.0,58865.0,71965.0,256756.5,59.85,4290.0,INDL,STD,C,0.06540242008731066,0.3826653189182854,0.16427880812164894,4.361785441263909,0.5271234361723945,4.300529118322554,Safe Zone
006008,2020-12-31,2020,INTC,INTEL CORP,153091.0,22495.0,55482.0,23876.0,72053.0,77867.0,202368.84,49.82,4062.0,INDL,STD,C,0.14693874884872396,0.36241189880528574,0.15595952733994814,2.808610883655087,0.5086321207647739,3.3921682481255235,Safe Zone
006008,2021-12-31,2021,INTC,INTEL CORP,168406.0,30256.0,67385.0,22082.0,73015.0,79024.0,209605.0,51.5,4070.0,INDL,STD,C,0.17966105720698788,0.4001341994940798,0.13112359417122904,2.8707114976374717,0.4692469389451682,3.400162846232804,Safe Zone
006008,2022-12-31,2022,INTC,INTEL CORP,182103.0,18252.0,69843.0,2779.0,78817.0,63054.0,109340.91,26.43,4137.0,INDL,STD,C,0.10022899128515181,0.38353569133951665,0.015260594279061849,1.3872757146300925,0.3462545921813479,1.886204739497813,Grey Zone
006008,2023-12-31,2023,INTC,INTEL CORP,191572.0,15216.0,68941.0,31.0,81607.0,54228.0,212457.0,50.25,4228.0,INDL,STD,C,0.0794270561459921,0.3598699183596768,0.00016181905497671893,2.6034163735954023,0.2830685068799198,2.4447826869973226,Grey Zone
006008,2024-12-31,2024,INTC,INTEL CORP,196485.0,11658.0,48321.0,-4708.0,91453.0,53101.0,86816.5,20.05,4330.0,INDL,STD,C,0.05933277349415986,0.2459271700129781,-0.02396111662467873,0.9493018271680536,0.2702547268239306,1.1762615044744842,Distress Zone
184996,2019-12-31,2019,TSLA,TESLA INC,34309.0,1436.0,-6119.0,80.0,26199.0,24578.0,75717.73,418.33,181.0,INDL,STD,C,0.04185490687574689,-0.1783497041592585,0.002331749686671136,2.8901000038169395,0.7163717974875398,2.2586628761716527,Grey Zone
184996,2020-12-31,2020,TSLA,TESLA INC,52148.0,12469.0,-5036.0,2184.0,28469.0,31536.0,677443.2,705.67,960.0,INDL,STD,C,0.23910792360205568,-0.09657129707754851,0.04188080079772954,23.795820014752888,0.6047403543760067,15.172168698274145,Safe Zone
184996,2021-12-31,2021,TSLA,TESLA INC,62131.0,7395.0,385.0,6496.0,30548.0,53823.0,1091653.74,1056.78,1033.0,INDL,STD,C,0.11902271008031418,0.006196584635689109,0.10455328258035441,35.735686133298415,0.8662825320693374,22.804222515149895,Safe Zone
184996,2022-12-31,2022,TSLA,TESLA INC,82338.0,14208.0,12524.0,13832.0,36440.0,81462.0,389741.52,123.18,3164.0,INDL,STD,C,0.17255702105953508,0.15210473900264762,0.1679904782724866,10.695431394072449,0.9893609269110253,8.381003401528849,Safe Zone
184996,2023-12-31,2023,TSLA,TESLA INC,106618.0,20868.0,27739.0,8891.0,43009.0,96773.0,791408.8,248.48,3185.0,INDL,STD,C,0.1957268003526609,0.260171828396706,0.08339117222232643,18.40100444093097,0.9076609953291189,12.822567248399958,Safe Zone
184996,2024-12-31,2024,TSLA,TESLA INC,122070.0,29539.0,34539.0,7760.0,48390.0,97690.0,1298749.44,403.84,3216.0,INDL,STD,C,0.24198410747931515,0.2829442123371836,0.06357008273941181,26.83921140731556,0.8002785287130335,17.80008947238966,Safe Zone
004503,2019-12-31,2019,XOM,EXXON MOBIL CORP,362597.0,-13937.0,401848.0,12766.0,163659.0,255583.0,295448.52,69.78,4234.0,INDL,STD,C,-0.038436611444661706,1.1082496545751894,0.035207130781556385,1.805269004454384,0.7048679387860352,3.4096384557094725,Safe Zone
004503,2020-12-31,2020,XOM,EXXON MOBIL CORP,332750.0,-11470.0,367238.0,-28387.0,168620.0,178574.0,174484.26,41.22,4233.0,INDL,STD,C,-0.034470323065364385,1.1036453794139744,-0.08531029301277235,1.0347779622820543,0.5366611570247933,2.379743110953004,Grey Zone
004503,2021-12-31,2021,XOM,EXXON MOBIL CORP,338923.0,2511.0,378295.0,24077.0,163240.0,276692.0,259384.41,61.19,4239.0,INDL,STD,C,0.007408762462270191,1.1161679791575077,0.07103973468900016,1.5889758024993874,0.8163860227839361,3.575728314532504,Safe Zone
004503,2022-12-31,2022,XOM,EXXON MOBIL CORP,369067.0,28586.0,419590.0,68628.0,166594.0,398675.0,450244.6,110.3,4082.0,INDL,STD,C,0.07745477108492496,1.1368938431233353,0.18594997656252116,2.702645953635785,1.080223915982735,5.000043516495105,Safe Zone
004503,2023-12-31,2023,XOM,EXXON MOBIL CORP,376317.0,31293.0,441938.0,44461.0,163779.0,334697.0,397020.58,99.98,3971.0,INDL,STD,C,0.08315595628153924,1.1743769215847277,0.11814773183247103,2.4241238498220166,0.889401754371979,4.477678417068809,Safe Zone
004503,2024-12-31,2024,XOM,EXXON MOBIL CORP,453475.0,21683.0,456284.0,39652.0,182869.0,339247.0,468252.21,107.57,4353.0,INDL,STD,C,0.047815204807321245,1.0061943877832296,0.0874403219582116,2.5605882352941176,0.7481051877170737,4.039061580020949,Safe Zone
